,home_team,away_team,H,D,A,game_id
5,Fulham,Brighton,0.43200000000000005,0.426,0.142,FulhamBrighton
6,West Ham,Crystal Palace,0.716,0.188,0.09699999999999999,West HamCrystal Palace
7,Liverpool,Tottenham,0.602,0.273,0.125,LiverpoolTottenham
8,Aston Villa,Burnley,0.893,0.068,0.04,Aston VillaBurnley
9,Sheffield United,Man United,0.011000000000000001,0.017,0.972,Sheffield UnitedMan United
0,Crystal Palace,Liverpool,0.012,0.024,0.9640000000000001,Crystal PalaceLiverpool
1,Southampton,Man City,0.166,0.29600000000000004,0.5379999999999999,SouthamptonMan City
2,Everton,Arsenal,0.785,0.122,0.09300000000000001,EvertonArsenal
3,Newcastle,Fulham,0.7020000000000001,0.26899999999999996,0.028999999999999998,NewcastleFulham
4,Brighton,Sheffield United,0.738,0.174,0.087,BrightonSheffield United
5,Tottenham,Leicester,0.805,0.161,0.034,TottenhamLeicester
6,Man United,Leeds,0.88,0.057,0.063,Man UnitedLeeds
7,West Brom,Aston Villa,0.10800000000000001,0.267,0.625,West BromAston Villa
8,Burnley,Wolves,0.05,0.183,0.767,BurnleyWolves
9,Chelsea,West Ham,0.9,0.083,0.017,ChelseaWest Ham
0,Leicester,Man United,0.331,0.364,0.305,LeicesterMan United
1,Aston Villa,Crystal Palace,0.7809999999999999,0.155,0.065,Aston VillaCrystal Palace
2,Fulham,Southampton,0.065,0.11599999999999999,0.8190000000000001,FulhamSouthampton
3,Arsenal,Chelsea,0.051,0.146,0.8029999999999999,ArsenalChelsea
4,Man City,Newcastle,0.968,0.013000000000000001,0.019,Man CityNewcastle
5,Sheffield United,Everton,0.038,0.07,0.892,Sheffield UnitedEverton
6,Leeds,Burnley,0.7859999999999999,0.16399999999999998,0.05,LeedsBurnley
7,West Ham,Brighton,0.8809999999999999,0.08800000000000001,0.031,West HamBrighton
8,Liverpool,West Brom,0.988,0.006,0.006,LiverpoolWest Brom
9,Wolves,Tottenham,0.067,0.209,0.7240000000000001,WolvesTottenham
0,Crystal Palace,Leicester,0.024,0.11199999999999999,0.8640000000000001,Crystal PalaceLeicester
1,Chelsea,Aston Villa,0.863,0.084,0.053,ChelseaAston Villa
2,Brighton,Arsenal,0.068,0.177,0.755,BrightonArsenal
3,Burnley,Sheffield United,0.7140000000000001,0.184,0.102,BurnleySheffield United
4,Southampton,West Ham,0.721,0.19,0.08800000000000001,SouthamptonWest Ham
5,West Brom,Leeds,0.102,0.299,0.599,West BromLeeds
6,Man United,Wolves,0.907,0.08,0.013000000000000001,Man UnitedWolves
7,Newcastle,Liverpool,0.013000000000000001,0.033,0.9540000000000001,NewcastleLiverpool
8,Tottenham,Fulham,0.9690000000000001,0.025,0.006,TottenhamFulham
9,(4.),Man City,0.114,0.259,0.627,(4.)Man City
0,Everton,West Ham,0.858,0.10800000000000001,0.034,EvertonWest Ham
1,Man United,Aston Villa,0.8,0.147,0.053,Man UnitedAston Villa
2,Tottenham,Leeds,0.863,0.081,0.055999999999999994,TottenhamLeeds
3,Crystal Palace,Sheffield United,0.847,0.11,0.043,Crystal PalaceSheffield United
4,Brighton,Wolves,0.07400000000000001,0.294,0.632,BrightonWolves
5,West Brom,Arsenal,0.03,0.073,0.8959999999999999,West BromArsenal
6,Newcastle,Leicester,0.024,0.11900000000000001,0.857,NewcastleLeicester
7,Chelsea,Man City,0.179,0.494,0.327,ChelseaMan City
8,Southampton,Liverpool,0.055999999999999994,0.073,0.872,SouthamptonLiverpool
9,Burnley,Fulham,0.557,0.301,0.142,BurnleyFulham
0,Sheffield United,Newcastle,0.10300000000000001,0.184,0.713,Sheffield UnitedNewcastle
1,Wolves,Everton,0.158,0.384,0.45799999999999996,WolvesEverton
2,Man City,Brighton,0.9890000000000001,0.006,0.006,Man CityBrighton
3,Arsenal,Crystal Palace,0.86,0.078,0.061,ArsenalCrystal Palace
4,West Ham,West Brom,0.935,0.055,0.01,West HamWest Brom
5,Leicester,Chelsea,0.488,0.389,0.12300000000000001,LeicesterChelsea
6,Fulham,Man United,0.01,0.024,0.966,FulhamMan United
7,Liverpool,Burnley,0.9670000000000001,0.013999999999999999,0.019,LiverpoolBurnley
8,Leeds,Southampton,0.27399999999999997,0.292,0.434,LeedsSouthampton
9,Aston Villa,Tottenham,0.109,0.204,0.687,Aston VillaTottenham
0,Wolves,West Brom,0.9229999999999999,0.071,0.006,WolvesWest Brom
1,Leeds,Brighton,0.863,0.106,0.031,LeedsBrighton
2,West Ham,Burnley,0.888,0.09300000000000001,0.019,West HamBurnley
3,Fulham,Chelsea,0.018000000000000002,0.037000000000000005,0.945,FulhamChelsea
4,Leicester,Southampton,0.762,0.207,0.03,LeicesterSouthampton
5,Sheffield United,Tottenham,0.018000000000000002,0.024,0.9590000000000001,Sheffield UnitedTottenham
6,Liverpool,Man United,0.7190000000000001,0.228,0.053,LiverpoolMan United
7,Man City,Crystal Palace,0.988,0.006,0.006,Man CityCrystal Palace
8,Arsenal,Newcastle,0.88,0.09699999999999999,0.023,ArsenalNewcastle
9,Aston Villa,Everton,0.138,0.391,0.47100000000000003,Aston VillaEverton
0,Crystal Palace,West Ham,0.149,0.337,0.514,Crystal PalaceWest Ham
1,Newcastle,Leeds,0.239,0.39799999999999996,0.364,NewcastleLeeds
2,West Brom,Man City,0.011000000000000001,0.006,0.983,West BromMan City
3,Southampton,Arsenal,0.375,0.358,0.267,SouthamptonArsenal
4,Burnley,Aston Villa,0.146,0.2,0.654,BurnleyAston Villa
5,(9.),Wolves,0.892,0.07,0.038,(9.)Wolves
6,Brighton,Fulham,0.489,0.392,0.11800000000000001,BrightonFulham
7,Everton,Leicester,0.214,0.364,0.42200000000000004,EvertonLeicester
8,Man United,Sheffield United,0.973,0.011000000000000001,0.016,Man UnitedSheffield United
9,Tottenham,Liverpool,0.22899999999999998,0.37799999999999995,0.39399999999999996,TottenhamLiverpool
0,Everton,Newcastle,0.958,0.03,0.012,EvertonNewcastle
1,Crystal Palace,Wolves,0.156,0.49700000000000005,0.34700000000000003,Crystal PalaceWolves
2,Man City,Sheffield United,0.9940000000000001,0.0,0.006,Man CitySheffield United
3,West Brom,Fulham,0.28,0.48200000000000004,0.23800000000000002,West BromFulham
4,Arsenal,Man United,0.158,0.251,0.591,ArsenalMan United
5,Southampton,Aston Villa,0.643,0.251,0.105,SouthamptonAston Villa
6,Chelsea,Burnley,0.972,0.027999999999999997,0.0,ChelseaBurnley
7,Leicester,Leeds,0.904,0.055999999999999994,0.04,LeicesterLeeds
8,West Ham,Liverpool,0.051,0.09,0.86,West HamLiverpool
9,Brighton,Tottenham,0.022000000000000002,0.051,0.927,BrightonTottenham
0,Sheffield United,West Brom,0.5,0.322,0.17800000000000002,Sheffield UnitedWest Brom
1,Wolves,Arsenal,0.159,0.245,0.596,WolvesArsenal
2,Man United,Southampton,0.937,0.044000000000000004,0.019,Man UnitedSouthampton
3,Newcastle,Crystal Palace,0.47100000000000003,0.312,0.217,NewcastleCrystal Palace
4,Burnley,Man City,0.018000000000000002,0.018000000000000002,0.9640000000000001,BurnleyMan City
5,Fulham,Leicester,0.048,0.024,0.9279999999999999,FulhamLeicester
6,Leeds,Everton,0.266,0.361,0.373,LeedsEverton
7,Aston Villa,West Ham,0.47600000000000003,0.3,0.22399999999999998,Aston VillaWest Ham
8,Liverpool,Brighton,0.982,0.0,0.018000000000000002,LiverpoolBrighton
9,Tottenham,Chelsea,0.366,0.371,0.263,TottenhamChelsea
0,Aston Villa,Arsenal,0.203,0.361,0.43700000000000006,Aston VillaArsenal
1,Burnley,Brighton,0.389,0.35200000000000004,0.259,BurnleyBrighton
2,Newcastle,Southampton,0.198,0.278,0.525,NewcastleSouthampton
3,Fulham,West Ham,0.054000000000000006,0.11900000000000001,0.8270000000000001,FulhamWest Ham
4,Man United,Everton,0.9,0.071,0.028999999999999998,Man UnitedEverton
5,Tottenham,West Brom,0.9470000000000001,0.035,0.018000000000000002,TottenhamWest Brom
6,Wolves,Leicester,0.053,0.24,0.708,WolvesLeicester
7,Liverpool,Man City,0.316,0.345,0.33899999999999997,LiverpoolMan City
8,Sheffield United,Chelsea,0.006,0.017,0.977,Sheffield UnitedChelsea
9,Leeds,Crystal Palace,0.7190000000000001,0.213,0.067,LeedsCrystal Palace
0,Leicester,Liverpool,0.204,0.341,0.455,LeicesterLiverpool
1,Crystal Palace,Burnley,0.7809999999999999,0.14800000000000002,0.071,Crystal PalaceBurnley
2,Man City,Tottenham,0.894,0.094,0.012,Man CityTottenham
