player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,matchweek
Hugo Lloris,4.0,1.0,4.0,100.0,1.2, (Matchweek 35)
Asmir Begović,4.0,2.0,2.0,50.0,1.9, (Matchweek 35)
David de Gea,2.0,0.0,2.0,100.0,0.1, (Matchweek 35)
Nick Pope,5.0,2.0,4.0,60.0,1.1, (Matchweek 31)
Thibaut Courtois,2.0,1.0,1.0,50.0,1.0, (Matchweek 31)
Ben Hamer,2.0,0.0,2.0,100.0,0.6, (Matchweek 35)
Alex McCarthy,3.0,0.0,3.0,100.0,0.5, (Matchweek 35)
Ben Foster,3.0,2.0,1.0,33.3,0.6, (Matchweek 35)
Loris Karius,5.0,2.0,3.0,60.0,1.8, (Matchweek 35)
Orestis Karnezis,1.0,0.0,1.0,100.0,0.2, (Matchweek 35)
Wayne Hennessey,4.0,0.0,4.0,100.0,0.4, (Matchweek 35)
David Ospina,4.0,1.0,3.0,75.0,1.2, (Matchweek 35)
Joe Hart,8.0,4.0,4.0,50.0,2.1, (Matchweek 35)
Jack Butland,7.0,1.0,6.0,85.7,1.8, (Matchweek 35)
Nick Pope,3.0,1.0,2.0,66.7,1.0, (Matchweek 35)
Ederson,1.0,0.0,1.0,100.0,0.0, (Matchweek 35)
Łukasz Fabiański,11.0,5.0,6.0,54.5,4.3, (Matchweek 35)
Jordan Pickford,2.0,0.0,2.0,100.0,0.2, (Matchweek 35)
Martin Dúbravka,1.0,1.0,0.0,0.0,0.5, (Matchweek 35)
Loris Karius,1.0,0.0,1.0,100.0,0.1, (Matchweek 36)
Jack Butland,2.0,0.0,2.0,100.0,0.8, (Matchweek 36)
Martin Dúbravka,2.0,1.0,1.0,50.0,0.7, (Matchweek 36)
Ben Foster,3.0,0.0,3.0,100.0,1.3, (Matchweek 36)
Alex McCarthy,7.0,1.0,6.0,85.7,1.6, (Matchweek 36)
Asmir Begović,6.0,2.0,4.0,66.7,2.6, (Matchweek 36)
Jonas Lössl,5.0,2.0,3.0,60.0,1.2, (Matchweek 36)
Jordan Pickford,1.0,0.0,1.0,100.0,0.2, (Matchweek 36)
