player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,def_actions_outside_pen_area_gk,Team,matchweek
Florian Müller,5.0,2.0,2.0,60.0,2.1,1.0,26.0,6.0,23.1,0.0,Stuttgart,12.0
Lukáš Hrádecký,7.0,0.0,7.0,100.0,0.2,7.0,43.0,6.0,53.5,1.0,Bayer Leverkusen,12.0
Manuel Riemann,5.0,1.0,4.0,80.0,1.0,13.0,32.0,5.0,59.4,2.0,Bochum,12.0
Stefan Ortega,5.0,2.0,3.0,60.0,2.7,13.0,27.0,1.0,81.5,0.0,Arminia,12.0
Koen Casteels,2.0,2.0,1.0,50.0,1.8,4.0,28.0,6.0,14.3,3.0,Wolfsburg,12.0
Yann Sommer,1.0,0.0,1.0,100.0,0.0,3.0,32.0,4.0,21.9,0.0,Mönchengladbach,12.0
Marius Funk,11.0,4.0,7.0,63.6,3.2,5.0,34.0,4.0,32.4,0.0,Greuther Fürth,12.0
Andreas Luthe,2.0,0.0,2.0,100.0,0.0,5.0,24.0,6.0,41.7,0.0,Union Berlin,12.0
Alexander Schwolow,5.0,2.0,3.0,60.0,1.4,4.0,22.0,5.0,13.6,1.0,Hertha BSC,12.0
Mark Flekken,7.0,2.0,5.0,71.4,1.7,6.0,37.0,3.0,32.4,0.0,Freiburg,12.0
Kevin Trapp,4.0,0.0,4.0,100.0,0.9,5.0,22.0,5.0,63.6,0.0,Eintracht Frankfurt,12.0
Robin Zentner,5.0,1.0,4.0,80.0,0.6,5.0,33.0,9.0,39.4,0.0,Mainz 05,12.0
Timo Horn,2.0,1.0,1.0,50.0,0.3,8.0,35.0,5.0,54.3,1.0,Köln,12.0
Florian Müller,5.0,1.0,4.0,80.0,1.3,2.0,33.0,12.0,18.2,0.0,Stuttgart,13.0
Robin Zentner,3.0,2.0,1.0,33.3,0.9,4.0,29.0,6.0,27.6,0.0,Mainz 05,13.0
Alexander Schwolow,6.0,1.0,5.0,83.3,1.3,10.0,27.0,3.0,55.6,2.0,Hertha BSC,13.0
Rafał Gikiewicz,4.0,1.0,3.0,75.0,0.4,4.0,23.0,4.0,26.1,1.0,Augsburg,13.0
Pavao Pervan,7.0,3.0,5.0,71.4,2.4,2.0,17.0,5.0,35.3,0.0,Wolfsburg,13.0
Gregor Kobel,7.0,1.0,6.0,85.7,0.9,3.0,15.0,5.0,20.0,1.0,Dortmund,13.0
